processed_date,ticket_number,member_code,master_code,renegotiated_date,closed_date,day_to_close,time_to_respond,Compliance 
22-06-2021,20212522606,OOCK01,,NULL,23-06-2021,,,
22-06-2021,20212522985,OOCAONE01,,NULL,22-06-2021,,,
22-06-2021,20212522994,OOCLXONE01,,NULL,25-06-2021,,,
22-06-2021,20212523020,OOCNCLWAT,,NULL,NULL,,,
22-06-2021,20212523099,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212523134,OOC5OW01,,NULL,NULL,,,
22-06-2021,20212523151,OOCCHN01,,NULL,22-06-2021,,,
22-06-2021,20212523175,OOCBT2,,NULL,23-06-2021,,,
22-06-2021,20212523180,OOCN2HN01,,NULL,NULL,,,
22-06-2021,20212523245,OOCHP1,,NULL,08-07-2021,,,
22-06-2021,20212523250,OOCHP3,,NULL,27-06-2021,,,
22-06-2021,20212523262,OOCOHAM01,,NULL,NULL,,,
22-06-2021,20212523266,OOCW01,,NULL,08-07-2021,,,
22-06-2021,20212523284,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212523296,OOCN2OE01,,29-06-2021,29-06-2021,,,
22-06-2021,20212523394,OOC3BOE01,,NULL,29-06-2021,,,
22-06-2021,20212523419,OOCK04,,NULL,28-06-2021,,,
22-06-2021,20212523447,OOCCTW01N,,NULL,22-06-2021,,,
22-06-2021,20212523456,OOCNTW01N,,29-06-2021,24-06-2021,,,
22-06-2021,20212523465,OOCHTW01N,,NULL,24-06-2021,,,
22-06-2021,20212523483,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212523532,OOCNOE01,,29-06-2021,30-06-2021,,,
22-06-2021,20212523545,OOCOT1,,NULL,30-06-2021,,,
22-06-2021,20212523612,OOCTWASL01,,NULL,24-06-2021,,,
22-06-2021,20212523621,OOCTWAWS01,,NULL,25-06-2021,,,
22-06-2021,20212523663,OOCOGOTT01,,NULL,23-06-2021,,,
22-06-2021,20212523689,OOCAOS01,,NULL,16-07-2021,,,
22-06-2021,20212523690,OOC1OS01,,NULL,16-07-2021,,,
22-06-2021,20212523691,OOC002,,NULL,22-06-2021,,,
22-06-2021,20212523723,OOCCOE01,,NULL,02-07-2021,,,
22-06-2021,20212523725,OOCNOE01,,29-06-2021,02-07-2021,,,
22-06-2021,20212523745,OOCOT1,,NULL,02-07-2021,,,
22-06-2021,20212523752,OOCTWASL01,,NULL,24-06-2021,,,
22-06-2021,20212523799,OOCTWAWS01,,NULL,28-06-2021,,,
22-06-2021,20212523821,OOCOGOTT01,,NULL,08-07-2021,,,
22-06-2021,20212523835,OOCCGN01,,NULL,22-06-2021,,,
22-06-2021,20212523871,OOC3AGN01,,21-07-2021,NULL,,,
22-06-2021,20212523878,OOCARR01,,NULL,22-06-2021,,,
22-06-2021,20212523884,OOCCGN02,,NULL,22-06-2021,,,
22-06-2021,20212523891,OOCNGN02,,23-06-2021,25-06-2021,,,
22-06-2021,20212523894,OOCLECMS01,,NULL,08-07-2021,,,
22-06-2021,20212523895,OOCCGW01,,NULL,NULL,,,
22-06-2021,20212523920,OOCNGW01,,NULL,NULL,,,
22-06-2021,20212523942,OOCCHN01,,30-06-2021,29-06-2021,,,
22-06-2021,20212523957,OOCNP01,,30-06-2021,29-06-2021,,,
22-06-2021,20212523980,OOCPVS1,,NULL,23-06-2021,,,
22-06-2021,20212523996,OOCNHN01,,NULL,NULL,,,
22-06-2021,20212524005,OOCAOW01,,NULL,14-07-2021,,,
22-06-2021,20212524008,OOC2OW01,,NULL,14-07-2021,,,
22-06-2021,20212524026,OOCAGN02,,NULL,NULL,,,
22-06-2021,20212524031,OOCNGN02,,13-07-2021,28-06-2021,,,
22-06-2021,20212524032,OOCIDLND01,,NULL,28-06-2021,,,
22-06-2021,20212524047,OOCLDPUC01,,NULL,NULL,,,
22-06-2021,20212524060,OOCOGSIM01,,NULL,NULL,,,
22-06-2021,20212524077,OOCARR01,,NULL,22-06-2021,,,
22-06-2021,20212524091,OOCNGN02,,23-06-2021,24-06-2021,,,
22-06-2021,20212524101,OOCSGN05,,23-06-2021,24-06-2021,,,
22-06-2021,20212524112,OOCOGSIM01,,NULL,22-06-2021,,,
22-06-2021,20212524126,OOCAOS01,,26-07-2021,NULL,,,
22-06-2021,20212524143,OOCKH1,,26-07-2021,NULL,,,
22-06-2021,20212524151,OOCKPUC03,,NULL,NULL,,,
22-06-2021,20212524166,OOCOC01,,26-07-2021,NULL,,,
22-06-2021,20212524182,OOCNOS01,,NULL,NULL,,,
22-06-2021,20212524186,OOCCGN01,,NULL,22-06-2021,,,
22-06-2021,20212524218,OOCNGN01,,02-07-2021,NULL,,,
22-06-2021,20212524288,OOCTPNM01,,NULL,NULL,,,
22-06-2021,20212524296,OOCRF01,,NULL,23-06-2021,,,
22-06-2021,20212524312,OOC5ONE01,,NULL,06-07-2021,,,
22-06-2021,20212524320,OOCKLNP01,,NULL,06-07-2021,,,
22-06-2021,20212524330,OOCCTW01S,,NULL,22-06-2021,,,
22-06-2021,20212524339,OOCNTW01S,,NULL,NULL,,,
22-06-2021,20212524346,OOCHTW01S,,NULL,25-06-2021,,,
22-06-2021,20212524348,OOCAOW01,,NULL,NULL,,,
22-06-2021,20212524383,OOCNCLWAT,,NULL,NULL,,,
22-06-2021,20212524416,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212524417,OOC1OW01,,NULL,NULL,,,
22-06-2021,20212524423,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212524438,OOCOT1,,NULL,08-07-2021,,,
22-06-2021,20212524501,OOCTWASL01,,NULL,24-06-2021,,,
22-06-2021,20212524505,OOCTWAWS01,,NULL,28-06-2021,,,
22-06-2021,20212524509,OOCAOW01,,NULL,NULL,,,
22-06-2021,20212524517,OOCNOW01,,NULL,NULL,,,
22-06-2021,20212524624,OOC1OW01,,NULL,NULL,,,
22-06-2021,20212524800,OOCCOE01,,NULL,02-07-2021,,,
22-06-2021,20212524872,OOCOGE01,,NULL,23-06-2021,,,
22-06-2021,20212525098,OOCK04,,NULL,28-06-2021,,,
22-06-2021,20212525173,OOCCOE01,,NULL,22-06-2021,,,
22-06-2021,20212525192,OOCRTSS01,,NULL,25-06-2021,,,
22-06-2021,20212525197,OOCRTWS01,,NULL,25-06-2021,,,
22-06-2021,20212525217,OOCOGE01,,NULL,23-06-2021,,,
22-06-2021,20212525219,OOCN2OE01,,29-06-2021,28-06-2021,,,
22-06-2021,20212525245,OOC3BOE01,,NULL,28-06-2021,,,
22-06-2021,20212525260,OOC60N01,,NULL,NULL,,,
22-06-2021,20212525263,OOCCHN01,,NULL,13-07-2021,,,
22-06-2021,20212525303,OOCPVS2,,NULL,23-06-2021,,,
22-06-2021,20212525340,OOCN2HN01,,NULL,NULL,,,
22-06-2021,20212525404,OOCNCLHAM,,NULL,NULL,,,
22-06-2021,20212525490,OOCHP1,,NULL,13-07-2021,,,
22-06-2021,20212525533,OOCTV01,,NULL,23-06-2021,,,
22-06-2021,20212525595,OOCCHN01,,NULL,22-06-2021,,,
22-06-2021,20212525646,OOCN2HN01,,29-06-2021,22-06-2021,,,
22-06-2021,20212525687,OOCAKHYD01,,NULL,23-06-2021,,,
22-06-2021,20212525689,OOCAKSS01,,NULL,23-06-2021,,,
22-06-2021,20212525699,OOCAGW02,,NULL,28-06-2021,,,
22-06-2021,20212525707,OOCALEDO01,,NULL,NULL,,,
22-06-2021,20212525720,OOC2GW02,,08-07-2021,08-07-2021,,,
22-06-2021,20212525726,OOCCOE01,,NULL,30-06-2021,,,
22-06-2021,20212525835,OOCNOE01,,29-06-2021,30-06-2021,,,
22-06-2021,20212525862,OOCOT1,,NULL,30-06-2021,,,
22-06-2021,20212525907,OOCTWASL01,,NULL,28-06-2021,,,
22-06-2021,20212525949,OOCTWAWS01,,NULL,28-06-2021,,,
22-06-2021,20212525965,OOCCOE01,,NULL,30-06-2021,,,
23-06-2021,2021252503,OOCNOE01,,30-06-2021,30-06-2021,,,
23-06-2021,2021254126,OOCOT1,,NULL,30-06-2021,,,
23-06-2021,2021255798,OOCTWASL01,,NULL,29-06-2021,,,
23-06-2021,2021257022,OOCTWAWS01,,NULL,29-06-2021,,,
23-06-2021,2021257304,OOCAOW01,,NULL,22-06-2021,,,
23-06-2021,2021259832,OOCLOW03,,29-06-2021,23-06-2021,,,
23-06-2021,20212428152,OOCNOW01,,NULL,NULL,,,
23-06-2021,20212510711,OOC1OW01,,NULL,29-06-2021,,,
23-06-2021,20212511515,OOCURNE01,,NULL,NULL,,,
23-06-2021,20212511673,OOCCC01,,NULL,NULL,,,
23-06-2021,20212515419,OOCCOE01,,NULL,13-07-2021,,,
23-06-2021,20212515570,OOCOGE01,,NULL,28-06-2021,,,
23-06-2021,20212515922,OOCN2OE01,,29-06-2021,13-07-2021,,,
23-06-2021,20212516578,OOC3BOE01,,NULL,13-07-2021,,,
23-06-2021,20212517022,OOCYSTSAN2,,NULL,02-07-2021,,,
23-06-2021,20212517158,OOCYSTSTM3,,NULL,02-07-2021,,,
23-06-2021,20212517856,OOCYSTWAT1,,NULL,02-07-2021,,,
23-06-2021,20212518753,OOCCGN02,,NULL,22-06-2021,,,
23-06-2021,20212518860,OOCNGN02,,29-06-2021,29-06-2021,,,
23-06-2021,20212520122,OOCTCMS01,,NULL,25-06-2021,,,
23-06-2021,20212520308,OOCCHN01,,NULL,22-06-2021,,,
23-06-2021,20212520790,OOCPVS2,,NULL,23-06-2021,,,
23-06-2021,20212520816,OOCN2HN01,,NULL,NULL,,,
23-06-2021,20212520826,OOCHP1,,NULL,16-07-2021,,,
23-06-2021,20212520855,OOCCHN01,,09-07-2021,06-07-2021,,,
23-06-2021,20212521025,OOCN2HN01,,NULL,NULL,,,
23-06-2021,20212521124,OOCHP1,,09-07-2021,06-07-2021,,,
23-06-2021,20212521226,OOCHP3,,NULL,27-06-2021,,,
23-06-2021,20212521497,OOCW01,,NULL,22-06-2021,,,
23-06-2021,20212521528,OOCOGHN01,,NULL,23-06-2021,,,
23-06-2021,20212521600,OOCCGN02,,07-07-2021,12-07-2021,,,
23-06-2021,20212521651,OOC5GN02,,29-06-2021,NULL,,,
23-06-2021,20212521875,OOCCOE01,,NULL,22-06-2021,,,
23-06-2021,20212521945,OOCNOE01,,29-06-2021,30-06-2021,,,
23-06-2021,20212522038,OOCOT1,,NULL,30-06-2021,,,
23-06-2021,20212522249,OOCTWASL01,,NULL,23-06-2021,,,
23-06-2021,20212522303,OOCTWATS01,,NULL,22-06-2021,,,
23-06-2021,20212522377,OOCCOE01,,NULL,22-06-2021,,,
23-06-2021,20212522877,OOCNOE01,,29-06-2021,29-06-2021,,,
23-06-2021,20212522967,OOCOT1,,NULL,29-06-2021,,,
23-06-2021,20212523235,OOCTWASL01,,NULL,23-06-2021,,,
23-06-2021,20212523427,OOCTWATS01,,NULL,22-06-2021,,,
23-06-2021,20212523443,OOCCGE01,,NULL,22-06-2021,,,
23-06-2021,20212523454,OOCLX02,,29-06-2021,22-06-2021,,,
23-06-2021,20212523598,OOCNGE01,,29-06-2021,30-06-2021,,,
23-06-2021,20212523719,OOCU02,,NULL,NULL,,,
23-06-2021,20212523852,OOCAONE01,,NULL,NULL,,,
23-06-2021,20212523898,OOCLONE01,,29-06-2021,23-06-2021,,,
23-06-2021,20212524016,OOCSBYS01,,NULL,23-06-2021,,,
23-06-2021,20212524202,OOCSBYSS01,,NULL,23-06-2021,,,
23-06-2021,20212524230,OOCSBYW01,,NULL,23-06-2021,,,
23-06-2021,20212524333,OOCH01,,NULL,25-06-2021,,,
23-06-2021,20212524344,OOCNONE01,,NULL,NULL,,,
23-06-2021,20212524424,OOCSBYW01,,NULL,22-06-2021,,,
23-06-2021,20212524914,OOC6ONE01,,NULL,24-06-2021,,,
23-06-2021,20212524941,OOCH04,,NULL,22-06-2021,,,
23-06-2021,20212525096,OOCAONE01,,NULL,NULL,,,
23-06-2021,20212525249,OOCOONE01,,NULL,NULL,,,
23-06-2021,20212525315,OOCLXONE01,,NULL,NULL,,,
23-06-2021,20212525368,OOCNONE01,,NULL,NULL,,,
23-06-2021,20212525380,OOCRVSL01,,NULL,25-06-2021,,,
23-06-2021,20212525652,OOCRVSS01,,NULL,24-06-2021,,,
23-06-2021,20212525801,OOCUSKWS04,,NULL,NULL,,,
23-06-2021,20212525950,OOCAOS01,,NULL,29-06-2021,,,
23-06-2021,20212525960,OOCKH2,,NULL,28-06-2021,,,
24-06-2021,2021227460,OOCNOS01,,NULL,NULL,,,
24-06-2021,2021258875,OOC1OS01,,NULL,28-06-2021,,,
24-06-2021,20212120870,OOCOGLDN01,,NULL,09-07-2021,,,
24-06-2021,20212510549,OOCCTW01S,,NULL,22-06-2021,,,
24-06-2021,20212510854,OOCNTW01S,,NULL,NULL,,,
24-06-2021,20212511793,OOCHTW01S,,NULL,23-06-2021,,,
24-06-2021,20212516455,OOCAOW01,,NULL,22-06-2021,,,
24-06-2021,20212517195,OOC5OW01,,NULL,NULL,,,
24-06-2021,20212517229,OOCAOE01,,NULL,30-06-2021,,,
24-06-2021,20212520388,OOCNCF01,,NULL,NULL,,,
24-06-2021,20212520449,OOC3BOE01,,10-07-2021,NULL,,,
24-06-2021,20212520981,OOCNONW01,,NULL,24-06-2021,,,
24-06-2021,20212521057,OOC6ONE01,,NULL,30-06-2021,,,
24-06-2021,20212523265,OOCAP01,,NULL,28-06-2021,,,
24-06-2021,20212523685,OOC60N01,,NULL,22-06-2021,,,
24-06-2021,20212523700,OOCCHN01,,NULL,13-07-2021,,,
24-06-2021,20212523917,OOCPVS2,,NULL,23-06-2021,,,
24-06-2021,20212523922,OOCN2HN01,,NULL,NULL,,,
24-06-2021,20212524835,OOCNCLHAM,,NULL,NULL,,,
24-06-2021,20212525928,OOCHP1,,NULL,13-07-2021,,,
25-06-2021,2021236509,OOCHP3,,NULL,27-06-2021,,,
25-06-2021,2021253051,OOCW01,,NULL,13-07-2021,,,
25-06-2021,20212023137,OOCVL3,,NULL,22-06-2021,,,
25-06-2021,20212429092,OOCCOW01,,NULL,NULL,,,
25-06-2021,20212521818,OOCNOW01,,NULL,NULL,,,
25-06-2021,20212522661,OOCHY01,,NULL,NULL,,,
25-06-2021,20212524374,OOCLPH01,,NULL,29-06-2021,,,
25-06-2021,20212525691,OOCLPH04,,NULL,29-06-2021,,,
27-06-2021,20212523474,OOCOGWAT01,,NULL,23-06-2021,,,
27-06-2021,20212525809,OOCNGE01,,29-06-2021,30-06-2021,,,
28-06-2021,2021244702,OOCHITS01,,NULL,NULL,,,
28-06-2021,20212127463,OOCCOE01,,NULL,NULL,,,
28-06-2021,20212511969,OOCNOE01,,NULL,NULL,,,
28-06-2021,20212524315,OOCOT1,,NULL,NULL,,,
29-06-2021,20212513852,OOCTWASL01,,NULL,07-07-2021,,,
29-06-2021,20212522925,OOCTWATS01,,NULL,22-06-2021,,,
30-06-2021,20212412411,OOCTWAWS01,,NULL,02-07-2021,,,
